Day fraction since midnight on 	pH probe (pH)	air slope ()	air valve control ()	
0.605316711	6.415297031	0	NaN
0.605328268	6.357501984	0	NaN
0.605339842	6.401763439	0	NaN
0.605351429	6.363630295	0	NaN
0.605362987	6.41674757	0	NaN
0.605374561	6.37403965	0	NaN
0.605386146	6.441718578	0	NaN
0.60539773	6.336166859	0	NaN
0.60540929	6.381429672	0	NaN
0.605420868	6.351707459	0	NaN
0.605432433	6.383058071	0	NaN
0.60544402	6.356258392	0	NaN
0.605455609	6.383281231	0	NaN
0.605467152	6.356337547	0	NaN
0.605478738	6.361880779	0	NaN
0.605490303	6.355359078	0	NaN
0.605501901	6.358771801	0	NaN
0.605513453	6.345374107	0	NaN
0.605525051	6.351858139	0	NaN
0.605536601	6.35691309	0	NaN
0.605548183	6.338730335	0	NaN
0.605559767	6.355028153	0	NaN
0.605571341	6.326731205	0	NaN
0.605582923	6.36255455	0	NaN
0.605594467	6.303677082	0	NaN
0.605606075	6.350162029	0	NaN
0.605617629	6.301267147	0	NaN
0.605629197	6.346514225	0	NaN
0.605640778	6.304198265	0	NaN
0.605652338	6.342347145	0	NaN
0.605663916	6.292794704	0	NaN
0.605675517	6.320116043	0	NaN
0.605687085	6.301275253	0	NaN
0.605698667	6.336123467	0	NaN
0.605710216	6.304123402	0	NaN
0.605721807	6.340642452	0	NaN
0.605733356	6.306150436	0	NaN
0.605744943	6.330230713	0	NaN
0.605756504	6.262889385	0	NaN
0.605768104	6.312803268	0	NaN
0.605779671	6.275033474	0	NaN
0.605791241	6.283784866	0	NaN
0.605802805	6.269874096	0	NaN
0.605814386	6.229246616	0	NaN
0.605825957	6.240874291	0	NaN
0.605837555	6.23400116	0	NaN
0.605849115	6.274998188	0	NaN
0.605860692	6.246150494	0	NaN
0.605872252	6.275656223	0	NaN
0.60588384	6.242740631	0	NaN
0.605895413	6.284789085	0	NaN
0.605906971	6.221773148	0	NaN
0.605918541	6.28177166	0	NaN
0.605930117	6.216655731	0	NaN
0.605941696	6.261838913	0	NaN
0.605953272	6.223159313	0	NaN
0.605964839	6.2697258	0	NaN
0.605976415	6.202530861	0	NaN
0.605988006	6.245917797	0	NaN
0.605999578	6.219622135	0	NaN
0.606011136	6.248839855	0	NaN
0.60602271	6.253505707	0	NaN
0.606034286	6.239053726	0	NaN
0.606045855	6.234332562	0	NaN
0.606057434	6.232344151	0	NaN
0.606069023	6.279907703	0	NaN
0.606080603	6.229158878	0	NaN
0.606092173	6.194484234	0	NaN
0.60610374	6.193516731	0	NaN
0.606115309	6.214991093	0	NaN
0.606126885	6.197745323	0	NaN
0.606138458	6.216279507	0	NaN
0.606150053	6.176855564	0	NaN
0.606161595	6.230120659	0	NaN
0.606173169	6.179282188	0	NaN
0.606184765	6.235636234	0	NaN
0.606196323	6.161764622	0	NaN
0.606207891	6.218913078	0	NaN
0.606219465	6.172504425	0	NaN
0.606231072	6.220219135	0	NaN
0.606242645	6.144341946	0	NaN
0.606254205	6.183820248	0	NaN
0.606265773	6.20528698	0	NaN
0.606277344	6.182644367	0	NaN
0.606288921	6.188770771	0	NaN
0.606300502	6.15933466	0	NaN
0.606312069	6.141471386	0	NaN
0.60632364	6.162194252	0	NaN
0.606335207	6.169272423	0	NaN
0.606346811	6.135181904	0	NaN
0.606358368	6.166764736	0	NaN
0.606369933	6.137372017	0	NaN
0.606381515	6.162583351	0	NaN
0.606393094	6.105280876	0	NaN
0.60640465	6.160877705	0	NaN
0.606416237	6.087157726	0	NaN
0.606427835	6.007652283	0	NaN
0.606439376	6.058568478	0	NaN
0.606450963	6.128822327	0	NaN
0.606462535	6.106671333	0	NaN
0.606474107	6.139783382	0	NaN
0.606485681	6.096933842	0	NaN
0.606497242	6.138010025	0	NaN
0.606508832	6.10011816	0	NaN
0.606520413	6.167591572	0	NaN
0.606531971	6.087705612	0	NaN
0.606543537	6.146709919	0	NaN
0.606555124	6.099579334	0	NaN
0.606566685	6.141391277	0	NaN
0.606578288	6.110713005	0	NaN
0.606589865	6.099460125	0	NaN
0.606601418	6.091870308	0	NaN
0.606613013	6.108018875	0	NaN
0.606624562	6.114182949	0	NaN
0.606636153	6.113765717	0	NaN
0.606647714	6.101531029	0	NaN
0.606659279	6.072167873	0	NaN
0.60667086	6.094679356	0	NaN
0.606682431	6.073415756	0	NaN
0.606694022	6.108013153	0	NaN
0.606705584	6.068556309	0	NaN
0.60671717	6.133150578	0	NaN
0.606728734	6.049510479	0	NaN
0.606740341	6.091514111	0	NaN
0.606751876	6.063353539	0	NaN
0.606763469	6.11591816	0	NaN
0.606775032	6.081872463	0	NaN
0.606786612	6.134749889	0	NaN
0.606798181	6.05526638	0	NaN
0.60680977	6.05799818	0	NaN
0.606821315	6.026082516	0	NaN
0.606832904	6.085297585	0	NaN
0.606844482	6.048941135	0	NaN
0.606856046	6.091304779	0	NaN
0.606867627	6.061398029	0	NaN
0.606879222	6.078490734	0	NaN
0.606890779	6.070101738	0	NaN
0.606902348	6.049184799	0	NaN
0.606913907	6.071670055	0	NaN
0.6069255	5.985534668	0	NaN
0.606937078	6.025837898	0	NaN
0.606948645	6.063850403	0	NaN
0.606960224	6.011083126	0	NaN
0.606971794	6.035100937	0	NaN
0.606983377	5.992445946	0	NaN
0.606994936	5.988221169	0	NaN
0.607006514	6.011452198	0	NaN
0.607018095	5.997801304	0	NaN
0.607029657	5.937215805	0	NaN
0.607041221	5.926530838	0	NaN
0.607052811	5.941187859	0	NaN
0.60706437	5.973598957	0	NaN
0.607075964	5.978719235	0	NaN
0.60708754	5.952980995	0	NaN
0.60709909	6.025341511	0	NaN
0.607110688	6.006480694	0	NaN
0.60712227	6.048761845	0	NaN
0.607133816	5.995638847	0	NaN
0.607145404	6.023578167	0	NaN
0.607156976	6.018983841	0	NaN
0.607168538	6.015093327	0	NaN
0.607180112	6.007483006	0	NaN
0.607191699	5.996131897	0	NaN
0.607203263	6.030383587	0	NaN
0.607214849	6.030910969	0	NaN
0.607226415	6.025331974	0	NaN
0.607237985	5.931724072	0	NaN
0.60724957	5.976274014	0	NaN
0.607261157	5.964108944	0	NaN
0.607272728	6.009150982	0	NaN
0.607284277	5.975310326	0	NaN
0.607295878	6.001522541	0	NaN
0.607307445	5.940378189	0	NaN
0.607318997	5.992863655	0	NaN
0.6073306	5.97029829	0	NaN
0.607342156	6.004176617	0	NaN
0.607353723	5.945835114	0	NaN
0.607365314	5.978823185	0	NaN
0.607376885	5.906217098	0	NaN
0.607388487	5.961692333	0	NaN
0.607400035	5.906747341	0	NaN
0.607411603	5.948708534	0	NaN
0.607423163	5.916831493	0	NaN
0.607434754	5.965886116	0	NaN
0.607446338	5.903803825	0	NaN
0.607457897	5.953471661	0	NaN
0.607469482	5.945138931	0	NaN
0.607481066	5.930986881	0	NaN
0.607492621	5.942131996	0	NaN
0.607504202	5.910925388	0	NaN
0.607515777	5.918231487	0	NaN
0.607527347	5.90775156	0	NaN
0.607538916	5.925174713	0	NaN
0.607550493	5.897050858	0	NaN
0.607562065	5.943416596	0	NaN
0.607573646	5.869653225	0	NaN
0.60758522	5.907856464	0	NaN
0.607596775	5.876825333	0	NaN
0.607608349	5.896050453	0	NaN
0.607619932	5.883479118	0	NaN
0.607631507	5.919710159	0	NaN
0.607643074	5.884123325	0	NaN
0.607654661	5.942058086	0	NaN
0.607666231	5.872841358	0	NaN
0.607677793	5.940706253	0	NaN
0.607689384	5.877707005	0	NaN
0.607700973	5.891563892	0	NaN
0.607712516	5.833170414	0	NaN
0.607724117	5.890881538	0	NaN
0.607735665	5.865704536	0	NaN
